source_id,kind,repo_full_name,ref,quality,notes
S001,repo,bizz84/starter_architecture_flutter_firebase,main,5,Reference app based on Riverpod Architecture
S002,repo,Erengun/Flutter-Riverpod-2.0-Template,main,5,Production-ready template with Riverpod Freezed GoRouter
S003,repo,momentous-developments/flutter-starter-app,main,5,Production-ready starter with Riverpod GoRouter clean architecture
S004,repo,DevDabbagh/Flutter-Riverpod-Clean-Architecture-Template,main,5,Riverpod 3 clean architecture with GoRouter Dio Retrofit
S005,repo,Uuttssaavv/flutter-clean-architecture-riverpod,main,5,Clean architecture Riverpod starter
S006,repo,guilherme-v/flutter-clean-architecture-example,main,4,Architecture comparison and tests
S007,repo,brianegan/flutter_architecture_samples,main,4,Classic architecture samples and testing reference
S008,repo,SimpleBoilerplates/Flutter,main,4,Boilerplate using Riverpod Dio go_router Freezed
S009,repo,namanh11611/flutter_mvvm_riverpod,main,4,MVVM Riverpod Supabase starter
S010,repo,momshaddinury/flutter_template,main,4,Production-ready clean architecture template
S011,repo,flutter/flutter,master,5,Flutter framework baseline and docs source
S012,repo,flutter/samples,main,5,Official sample apps and best practices
S015,repo,bizz84/go_router_deep_links_example,master,4,Deep link and redirect pattern reference
S016,repo,djanogly/starter_architecture_flutter_firebase-1,main,4,Older reference architecture and issue history
S017,repo,Amir-beigi-84/flutter-clean-architecture,main,4,Command template with MVVM+BLoC+Dio
S018,repo,reafeichtinger/flutter_production_boilerplate_riverpod,main,4,Production boilerplate with Riverpod and linting
S019,repo,scalio/bazel-flutter,main,3,Bazel build reference for Flutter projects
S020,repo,GetStream/flutter-video-samples,main,4,Real-world sample apps and SDK integration
S021,repo,fluttercommunity/flutter_styleguide,main,4,Style guide and team conventions
S022,repo,flutter/website,main,5,Official docs and code sample reference
S023,repo,flutter/packages,main,5,Official Flutter-maintained packages reference
S024,repo,flutter/tests,main,5,Contributed tests repository for breaking changes coverage
S100,repo,abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,main,4,★7107 Responsive Admin Panel or Dashboard using Flutter
S101,repo,jameskokoska/Cashew,main,4,★4513 💸 An app created to help users manage a budget and
S102,repo,hungps/flutter_pokedex,main,4,★2534 Pokedex app built with Flutter (with lots of anima
S103,repo,flyerhq/flutter_chat_ui,main,4,"★2321 Free and open-source chat SDK. Build fast, real-ti"
S104,repo,duytq94/flutter-chat-demo,main,4,★1830 The chat app made by Flutter and Firebase
S105,repo,olayemii/flutter-ui-kits,main,4,★1479 Free Flutter UI Kits developed by Olayemi Garuba
S106,repo,RIP-Comm/sossoldi,main,4,"★1384 ""Sossoldi"" is a wealth management / personal finan"
S107,repo,xvrh/lottie-flutter,main,4,★1295 Render After Effects animations natively on Flutte
S108,repo,bukunmialuko/flutter_ui_kit_obkm,main,4,★1077 100+ Mobile UI Kit
S109,repo,felixblaschke/simple_animations,main,4,★1058 Flutter package for creating awesome animations.
S110,repo,GetStream/stream-chat-flutter,main,4,★1051 Flutter Chat SDK - Build your own chat app experie
S111,repo,wger-project/flutter,main,4,★951 Flutter fitness/workout app for wger
S112,repo,adar2378/pin_code_fields,main,4,★793 A flutter package which will help you to generate 
S113,repo,woosignal/flutter-woocommerce-app,main,4,★712 WooCommerce App template that uses Flutter. Integr
S114,repo,SinaSys/flutter_go_rest_app,main,4,★284 🚀 User management app built in flutter using clean
